CLASS  NAME,SECTION,REG NO,SUBJECT , EXTERNAL MARKS
CLASS  NAME,SECTION,REG NO,SUBJECT , EXTERNAL MARKS
CLASS  NAME,SECTION,REG NO,SUBJECT , EXTERNAL MARKS
